"hospedante"
"Ageratina adenophora (Croftonweed)"
"Ageratum"
"Ageratum conyzoides (billy goat weed)"
"Ageratum houstonianum (Blue billygoatweed)"
"Aglaonema"
"Aglaonema commutatum"
"Aglaonema costatum"
"Aglaonema crispum"
"Aglaonema marantifolium"
"Aglaonema modestum"
"Aglaonema nitidum"
"Aglaonema pictum"
"Agonis"
"Agonis flexuosa (willow myrtle)"
"Agropyron (wheatgrass)"
"Agrostis canina (velvet bentgrass)"
"Agrostis capillaris (common bent)"
"Agrostis exarata"
"Agrostis gigantea (black bent)"
"Agrostis stolonifera (creeping bentgrass)"
"Agrostis stolonifera var. palustris (bent grass)"
"Ailanthus"
"Ailanthus altissima (tree-of-heaven)"
"Aiphanes horrida"
"Akebia quinata (five-leaf akebia)"
"Akebia trifoliata"
"Albizia"
"Albizia julibrissin (silk tree)"
"Albizia lebbeck (Indian siris)"
"Albizia procera (white siris)"
"Albizia saman (rain tree)"
"Albizia zygia"
"Alcea rosea (Hollyhock)"
"Alhagi"
"Alhagi maurorum (camelthorn)"
"Alhagi sp."
"Allamanda cathartica (yellow allamanda)"
"Allium"
"Allium ampeloprasum (wild leek)"
"Allium ascalonicum"
"Allium cepa"
"Allium cepa (onion)"
"Allium cepa var. aggregatum (shallot)"
"Allium fistulosum (Welsh onion)"
"Allium porrum (leek)"
"Allium sativum"
"Allium sativum (garlic)"
"Allium schoenoprasum (chives)"
"Allium scorodoprasum"
"Allium spp."
"Allocasuarina fraseriana"
"Allophylus pervillei"
"Allosyncarpia"
"Alnus (alders)"
"Alnus alnobetula (green alder)"
"Alnus cordata (Italian alder)"
"Alnus firma"
"Alnus glutinosa"
"Alnus glutinosa (European alder)"
"Alnus incana (grey alder)"
"Alnus japonica (Japanese alder)"
"Alnus maritima"
"Alnus nitida (West Himalayan alder)"
"Alnus oblongifolia"
"Alnus rubra (red alder)"
"Alnus serrulata"
"Alnus sp."
"Alnus subcordata"
"Alocasia"
"Alocasia macrorrhizos (giant taro)"
"Aloe vera (true aloe)"
"Aloysia citrodora (lemon verbena)"
"Alpinia"
"Alpinia purpurata (red ginger)"
"Alstonia scholaris (white cheesewood)"
"Alstroemeria (Inca lily)"
"Alternanthera (Joyweed)"
"Alternanthera brasiliana"
"Alternanthera ficoidea (rabbit meat)"
"Alternanthera sessilis (sessile joyweed)"
"Althaea (hollyhocks)"
"Alysicarpus rugosus"
"Alyssum sp."
"Alyxia gynopogon"
"Alyxia stellata"
"Amaranthus"
"Amaranthus (amaranth)"
"Amaranthus blitoides (spreading amaranth)"
"Amaranthus blitum (livid amaranth)"
"Amaranthus deflexus (Perennial Pigweed)"
"Amaranthus hybridus (smooth pigweed)"
"Amaranthus palmeri (Palmer amaranth)"
"Amaranthus retroflexus (redroot pigweed)"
"Amaranthus spinosus (spiny amaranth)"
"Amaranthus viridis (slender amaranth)"
"Ambrosia (Ragweed)"
"Ambrosia artemisiifolia"
"Ambrosia artemisiifolia (common ragweed)"
"Amelanchier"
"Amelanchier (serviceberries)"
"Amelanchier canadensis (thicket serviceberry)"
"Amelanchier intermedia"
"Amelanchier lamarckii (snowy mespilus)"
"Amelanchier ovalis (juneberry)"
"Ammi visnaga"
"Ammophila arenaria (marram grass)"
"Amorpha fruticosa (false indigo-bush)"
"Ampelopsis"
"Ampelopsis aconitifolia (monkhood-vine)"
"Ampelopsis arborea (peppervine)"
"Ampelopsis brevipedunculata (Amur amelopsis)"
"Amyema"
"Amyema congener"
"Amygdalus communis [Prunus dulcis]"
"Anacardium occidentale"
"Anacardium occidentale (cashew nut)"
"Anagallis arvensis (scarlet pimpernel)"
"Ananas comosus"
"Ananas comosus (pineapple)"
"Anaphalis sp."
"Anchusa (Bugloss)"
"Anchusa azurea (Italian alkanet)"
"Andrographis paniculata"
"Andropogon bicornis"
"Andropogon lateralis"
"Anemone (windflower)"
"Anemone canadensis (Canada anemone)"
"Anemone sp."
"Anemone spp."
"Anethum graveolens (dill)"
"Angelica"
"Angelica acutiloba"
"Angelica anomala"
"Angelica archangelica (Angelica)"
"Angelica dahurica"
"Angelica decursiva"
"Angelica gigas"
"Angelica gmelinii"
"Angelica japonica"
"Angelica keiskei"
"Angophora"
"Angylocalyx braunii"
"Anigozanthos sp."
"Annona"
"Annona cherimola"
"Annona cherimola (cherimoya)"
"Annona cherimola (soursop)"
"Annona montana"
"Annona muricata"
"Annona muricata (soursop"
"Annona muricata (soursop)"
"Annona senegalensis (wild custard apple)"
"Annona spp."
"Annona squamosa"
"Annona squamosa (sugar apple)"
"Anoda cristata (Anodaweed)"
"Anogeissus latifolia (axle-wood tree)"
"Anthemis (chamomile)"
"Anthurium"
"Anthurium andraeanum"
"Anthurium andreanum"
"Anthyllis sp."
"Antidesma"
"Antidesma bunius"
"Antigonon leptopus (coral vine)"
"Antirrhinum majus (snapdragon)"
"Anubias barteri"
"Aphananthe monoica"
"Aphelandra squarrosa (Zebra plant)"
"Apios"
"Apium graveolens (celery)"
"Apium sp."
"Apollonias barbujana"
"Aptenia cordifolia"
"Aquilegia vulgaris"
"Arabidopsis thaliana"
"Arabis sp."
"Araceae"
"Arachis"
"Arachis hypogaea"
"Arachis hypogaea (groundnut)"
"Aralia"
"Aralia cordata (spikenard)"
"Aralia elata (Japanese aralia)"
"Araucaria araucana (monkey puzzle)"
"Araucaria cunninghamii (colonial pine)"
"Araucaria heterophylla (norfolk Island pine)"
"Araujia sericifera"
"Araujia sericifera (Arejishi)"
"Arbutus unedo"
"Arbutus unedo (arbutus)"
"Arbutus xalapensis"
"Arceuthobium americanum (lodgepole pine dwarf mistletoe)"
"Archirhodomyrtus"
"Archontophoenix alexandrae"
"Archontophoenix cunninghamiana"
"Arctagrostis latifolia"
"Arctium lappa"
"Arctium lappa (burdock)"
"Arctostaphylos (bearberry)"
"Arctotheca calendula (capeweed)"
"Ardisia"
"Ardisia humilis (low shoebutton)"
"Ardisia japonica"
"Ardisia sieboldii"
"Areca catechu"
"Areca catechu (betel nut)"
"Areca catechu (betelnut palm)"
"Arecaceae"
"Argemone mexicana (Mexican poppy)"
"Arillastrum"
"Arillastrum gummiferum"
"Aristida adscensionis"
"Aristolochia albida"
"Armoracia rusticana (horseradish)"
"Aronia arbutifolia (red chokeberry)"
"Aronia melanocarpa (black chokeberry)"
"Arracacia xanthorrhiza (arracacha)"
"Artemisia (wormwoods)"
"Artemisia absinthium (Wormwood)"
"Artemisia annua"
"Artemisia barrelieri"
"Artemisia campestris"
"Artemisia campestris subsp. glutinosa"
"Artemisia capillaris"
"Artemisia scoparia"
"Artemisia vulgaris (mugwort)"
"Arthropteris palisotii"
"Artocarpus (breadfruit trees)"
"Artocarpus altilis (breadfruit)"
"Artocarpus heterophyllus (jackfruit)"
"Artocarpus hirsutus (wild jack fruit)"
"Artocarpus integer (champedak)"
"Arum"
"Arum italicum (Italian arum)"
"Arytera divaricata"
"Asclepias (Silkweed)"
"Asimina triloba (Pawpaw-apple)"
"Asparagus officinalis (asparagus)"
"Asperula cynanchica"
"Asphodelus spp."
"Aspidotis ficus"
"Asplenium"
"Asplenium australasicum"
"Asplenium nidus (bird's nest fern)"
"Asplenium nidus (bird&apos;s nest fern)"
"Astartea"
"Aster"
"Aster formosissima"
"Aster iinumae"
"Aster sp."
"Aster yomena var. yomena"
"Asteromyrtus"
"Astilbe arendsii"
"Astragalus adsurgens"
"Astragalus arequipensis"
"Astragalus canadensis"
"Astragalus cicer (Cicer milkvetch)"
"Astragalus crassicarpus"
"Astragalus glycyphyllos (sweet milkvetch)"
"Astragalus sinicus (chinese clover)"
"Astragalus sinicus (Chinese clover)"
"Astragalus sp."
"Astragalus stipulatus"
"Asystasia gangetica (chinese violet)"
"Asystasia gangetica (Chinese violet)"
"Atalantia buxifolia"
"Athamanta cretensis"
"Athyrium alpestre"
"Atractocarpus tahitiensis"
"Atractylis sp."
"Atractylodes lancea"
"Atractylodes macrocephala"
"Atriplex lampa"
"Atriplex leucoclada"
"Atriplex patula (common orache)"
"Atropa belladonna (deadly nightshade)"
"Attalea speciosa"
"Attalea speciosa (Babassu palm)"
"Aucoumea klaineana (okoume)"
"Aucuba japonica (Japanese aucuba)"
"Austroeupatorium inulifolium"
"Austromyrtus"
"Avena byzantina (Red Oats)"
"Avena fatua (wild oat)"
"Avena sativa (oats)"
"Avena sterilis (winter wild oat)"
"Averrhoa bilimbi (bilimbi)"
"Averrhoa carambola (carambola)"
"Averrhoa sp."
"Avicennia germinans (black mangrove)"
"Avicennia marina"
"Avicennia officinalis"
"Axonopus (carpetgrasses)"
"Axonopus compressus (carpet grass)"
"Azadirachta excelsa"
"Azadirachta indica (neem tree)"
"Azaleas"
"Azaleas [Rhododendron]"
"Azolla pinnata (mosquito fern)"
"Azolla spp."
"Baccharis"
"Baccharis halimifolia"
"Baccharis halimifolia (groundsel-bush)"
"Baccharis pilularis (coyote brush)"
"Backhousia"
"Bacopa monnieri (water hyssop)"
"Bactris gasipaes"
"Baeckea"
"Baeckea camphorata"
"Baeckea virgata"
"Bambusa"
"Bambusa vulgaris (common bamboo)"
"Banksia"
"Banksia ericifolia"
"Banksia grandis"
"Banksia littoralis"
"Banksia prionotes"
"Banksia speciosa"
"Baptisia alba var. macrophylla"
"Baptisia australis"
"Baptisia bracteata var. laevicaulis"
"Barbarea vulgaris (common wintercress (UK))"
"Barleria"
"Barleria cristata (Philippine violet)"
"Barongia"
"Barringtonia"
"Barringtonia asiatica (sea poison tree)"
"Barringtonia racemosa"
"Barringtonia samoensis"
"Basella alba (malabar spinach)"
"Bassia scoparia"
"Bauhinia (camel's foot)"
"Bauhinia (camel&apos;s foot)"
"Bauhinia acuminata"
"Bauhinia alba"
"Bauhinia divaricata"
"Bauhinia forficata"
"Bauhinia purpurea (purple bauhinia)"
"Bauhinia semla (semla)"
"Bauhinia variegata (mountain ebony)"
"Beaufortia"
"Begonia"
"Begonia perflorens"
"Begonia rubra"
"Begonia tuberhybrida"
"Bellis sp."
"Belvisia"
"Benincasa hispida (wax gourd)"
"Benthamina alyxifolia"
"Berberis (barberries)"
"Berberis aquifolium"
"Berberis dasystachya"
"Berberis grevilleana"
"Berberis sp."
"Berberis vulgaris (European barberry)"
"Bergenia (elephant-leaved saxifrage)"
"Berteroa incana (hoary alyssum)"
"Bertholletia excelsa (Brazil nut)"
"Beta"
"Beta vulgaris"
"Beta vulgaris (beetroot)"
"Beta vulgaris subsp. cicla"
"Beta vulgaris var. cicla"
"Beta vulgaris var. saccharifera (sugarbeet)"
"Betula (birches)"
"Betula alleghaniensis (yellow birch)"
"Betula davurica (mongolian birch)"
"Betula davurica (Mongolian birch)"
"Betula lenta (sweet birch)"
"Betula nana (dwarf (arctic)- birch (UK))"
"Betula nigra (river birch)"
"Betula occidentalis (water birch)"
"Betula occidentalis (Water birch)"
"Betula papyrifera (paper birch)"
"Betula pendula (common silver birch)"
"Betula populifolia (gray birch)"
"Betula pubescens (Downy birch)"
"Betula pumila (low birch)"
"Betula sp."
"Bidens andicola"
"Bidens aurea"
"Bidens pilosa (blackjack)"
"Bignonia"
"Bischofia javanica (bishop wood)"
"Bistorta spp."
"Bixa orellana"
"Bixa orellana (annatto)"
"Blechnum (saw-fern)"
"Blechnum orientale"
"Blighia sapida (akee apple)"
"Blysmus compressus"
"Boehmeria nivea (ramie)"
"Boerhavia diffusa (red spiderling)"
"Bombax ceiba (silk cotton tree)"
"Bombax valetonii"
"Borago officinalis (Borage)"
"Boronia spathulata"
"Borreria latifolia (broadleaf buttonweed)"
"Bossiaea ornata"
"Boswellia serrata (Indian olibanum tree)"
"Bougainvillea"
"Bougainvillea spectabilis (great bougainvillea)"
"Brachiaria (signalgrass)"
"Brachiaria mutica"
"Brachiaria texana"
"Brachychiton acerifolium"
"Brachyscome tetrapterocarpa"
"Brahea dulcis"
"Brassica"
"Brassica campestris"
"Brassica campestris var. rapa"
"Brassica carinata (African cabbage)"
"Brassica juncea"
"Brassica juncea (mustard)"
"Brassica juncea var. juncea (Indian mustard)"
"Brassica napus"
"Brassica napus var. napobrassica (swede)"
"Brassica napus var. napus"
"Brassica napus var. napus (rape)"
"Brassica napus var. oleifera"
"Brassica napus var. oleifera (oilseed rape)"
"Brassica nigra (black mustard)"
"Brassica oleracea (cabbages"
"Brassica oleracea var. alboglabra (Chinese kale)"
"Brassica oleracea var. botrytis (cauliflower)"
"Brassica oleracea var. capitata"
"Brassica oleracea var. capitata (cabbage)"
"Brassica oleracea var. gemmifera (Brussels sprouts)"
"Brassica oleracea var. gongylodes (kohlrabi)"
"Brassica oleracea var. italica (broccoli)"
"Brassica oleracea var. viridis (collards)"
"Brassica rapa (field mustard)"
"Brassica rapa cultivar group Caixin"
"Brassica rapa subsp. chinensis (Chinese cabbage)"
"Brassica rapa subsp. oleifera (turnip rape)"
"Brassica rapa subsp. pekinensis"
"Brassica rapa subsp. rapa (turnip)"
"Brassicaceae (cruciferous crops)"
"Breynia vitis-idaea"
"Bridelia retusa"
"Bromus catharticus (prairiegrass)"
"Bromus diandrus (great brome)"
"Bromus erectus (upright brome(grass))"
"Bromus secalinus (rye brome)"
"Brosimum gaudichaudii"
"Broussonetia papyrifera (paper mulberry)"
"Brownea"
"Brugmansia"
"Brugmansia candida (angel's trumpet)"
"Bruguiera parvifolia"
"Bruguiera sexangula"
"Bryonia alba (white bryony)"
"Buddleia (Butterflybush)"
"Buddleja davidii (butterfly bush)"
"Bulnesia retama"
"Bumelia lanuginosa [Sideroxylon lanuginosum]"
"Bupleurum chinense"
"Bupleurum euphorbioides"
"Burchellia bubalina"
"Bursaria spinosa"
"Butea"
"Butea monosperma (flame of the forest)"
"Buxus"
"Buxus (box)"
"Buxus microphylla (little-leaf box)"
"Buxus sempervirens"
"Buxus sempervirens suffruticosa"
"cabbage palm)"
"Caesalpinia"
"Caesalpinia kavaiensis"
"Caesalpinia pulcherrima (peacock flower)"
"Caesalpinia sepiaria [Caesalpinia decapetala]"
"Cajanus cajan"
"Cajanus cajan (pigeon pea)"
"Caladium"
"Calamagrostis epigejos"
"Calamus"
"Calathea lutea (calathea)"
"Calceolaria (pouch flower)"
"Calendula (marigolds)"
"Calendula arvensis"
"Calendula officinalis (Pot marigold)"
"Calicotome villosa"
"Calliandra houstoniana var. calothyrsus (calliandra)"
"Calliandra surinamensis"
"Callicarpa americana (American beautyberry)"
"Callicarpa japonica"
"Callistemon"
"Callistemon (bottle brush)"
"Callistemon (Bottle brush)"
"Callistemon citrinus"
"Callistemon linearis"
"Callistemon polandii"
"Callistemon salignus"
"Callistemon speciosus"
"Callistemon viminalis"
"Callistephus chinensis (China aster)"
"Callitris preissii (camphorwood)"
"Callitris rhomboidea (oyster Bay pine)"
"Calluna vulgaris (heather)"
"Calocedrus decurrens (bastard cedar)"
"Calocedrus formosana"
"Calodendrum capense"
"Calophyllum (beauty-leaf)"
"Calophyllum inophyllum (Alexandrian laurel)"
"Calophyllum neoebudicum"
"Calophyllum sp.(beauty-leaf)"
"Calophyllum tomentosum"
"Calopogonium"
"Calopogonium caeruleum (jicama)"
"Calopogonium mucunoides (calopo)"
"Calothamnus"
"Calotis ancyrocarpa"
"Calotis cuneifolia"
"Calotis plumulifera"
"Calotropis gigantea (Yercum fibre)"
"Calycorectes"
"Calycosiphonia spathicalyx"
"Calyptocarpus biaristatus"
"Calystegia sepium (great bindweed)"
"Calystegia sp."
"Calytrix"
"Camellia"
"Camellia japonica"
"Camellia japonica (camellia)"
"Camellia rusticana"
"Camellia sasanqua"
"Camellia sasanqua (Sasanqua)"
"Camellia sinensis"
"Camellia sinensis (tea)"
"Campanula (campanulas)"
"Campanula pyramidalis (chimney bellflower)"
"Campanula rapunculoides (creeping bellflower)"
"Campanula sp."
"Campomanesia"
"Campsis grandiflora"
"Campsis radicans (trumpetcreeper)"
"Cananga odorata (ylang-ylang)"
"Canarium harveyi"
"Canarium indicum (galip nut)"
"Canavalia ensiformis (jack bean)"
"Canna"
"Canna glauca"
"Canna indica (canna lilly)"
"Canna x hortensis"
"Cannabis sativa (hemp)"
"Canthium ventosum [Canthium inerme]"
"Capparis horrida [Capparis zeylanica]"
"Capsella bursa-pastoris (shepherd's purse)"
"Capsella bursa-pastoris (shepherd&apos;s purse)"
"Capsicum (peppers)"
"Capsicum annuum"
"Capsicum annuum (bell pepper)"
"Capsicum chinense (habanero pepper)"
"Capsicum frutescens (chilli)"
"Capsicum spp."
"Capsicum spp. (peppers)"
"Caragana"
"Caragana arborescens (Siberian pea-tree)"
"Carapa guianensis (carapa)"
"Cardamine circaeoides"
"Cardamine flexuosa"
"Cardiospermum halicacabum (balloon vine)"
"Carduus"
"Carex (sedges)"
"Careya arborea (tummy wood)"
"Carica papaya"
"Carica papaya (pawpaw)"
"Cariniana legalis"
"Carissa macrocarpa"
"Carissa macrocarpa (Natal plum)"
"Carpentaria acuminata"
"Carpinus (hornbeams)"
"Carpinus betulus (hornbeam)"
"Carpinus caroliniana (American hornbeam)"
"Carpinus laxiflora"
"Carpinus orientalis (oriental hornbeam)"
"Carpobrutus"
"Carthamus tinctorius (safflower)"
"Carum carvi (caraway)"
"Carya (hickories)"
"Carya cathayensis (Chinese hickory)"
"Carya cordiformis (bitternut hickory)"
"Carya glabra (Pignut hickory)"
"Carya illinoensis [Carya illinoinensis]"
"Carya illinoinensis (pecan)"
"Carya myristiciformis"
"Carya ovata"
"Carya ovata (shagbark hickory)"
"Carya palmeri"
"Carya tomentosa"
"Caryocar brasiliense"
"Caryopteris incana"
"Cascabela thevetia"
"Cascabela thevetia (yellow oleander)"
"Casearia"
"Casearia sylvestris"
"Casimiroa edulis (white sapote)"
"Cassia (sennas)"
"Cassia fistula (Indian laburnum)"
"Cassia javanica (pink shower)"
"Cassia roxburghii"
"Cassinia laevis"
"Castanea (chestnuts)"
"Castanea crenata (Japanese chestnut)"
"Castanea dentata (American chestnut)"
"Castanea mollissima (hairy chestnut)"
"Castanea sativa (chestnut)"
"Castanea seguinii (seguin's chestnut)"
"Castanopsis (evergreen chinkapin)"
"Castanopsis cuspidata (chinkapin)"
"Castanopsis sieboldii"
"Castilla elastica (Mexican rubber tree)"
"Castilleja indivisa"
"Casuarina (beefwood)"
"Casuarina equisetifolia (Australian pine)"
"Casuarina equisetifolia (casuarina)"
"Casuarina oligodon (she oak)"
"Catalpa bignonioides (Southern catalpa)"
"Catalpa speciosa (hardy catalpa)"
"Catharanthus roseus (Madagascar periwinkle)"
"Cathormion umbellatum"
"Cattleya labiata"
"Cattleya maikai"
"cauliflowers)"
"Cayratia japonica (Sorrel vine)"
"Ceanothus (white-thorn)"
"Ceanothus thyrsiflorus (Blueblossom ceanothus)"
"Cecropia obtusifolia"
"Cedrela odorata (Spanish cedar)"
"Cedrus (cedars)"
"Cedrus atlantica (Atlas cedar)"
"Cedrus deodara"
"Cedrus deodara (Himalayan cedar)"
"Cedrus libani (cedar of Lebanon)"
"Cedrus sp."
"Ceiba pentandra (kapok)"
"Ceiba speciosa"
"Celastrus orbiculatus (Asiatic bittersweet)"
"Celosia argentea (celosia)"
"Celtis (nettle tree)"
"Celtis boninensis"
"Celtis laevigata (Sugarberry)"
"Celtis mildbraedii (red-fruited white-stinkwood)"
"Celtis occidentalis (hackberry)"
"Celtis pallida"
"Celtis sinensis (Chinese elm)"
"Celtis tenuifolia"
"Cenchrus echinatus (southern sandbur)"
"Centaurea (Knapweed)"
"Centaurea cristata"
"Centaurea cyanus (cornflower)"
"Centaurea jacea (brown knapweed)"
"Centaurea nigra"
"Centaurea sp."
"Centaurium erythraea"
"Centaurium littorale"
"Centipeda minima"
"Centrosema pubescens (Centro)"
"Centrosema virginianum"
"Cephalanthus occidentalis (common buttonbush)"
"Cephalotaxus"
"Cerastium glomeratum"
"Cerastium vulgatum"
"Cerasus avium [Prunus avium]"
"Ceratonia"
"Ceratonia siliqua (carob)"
"Ceratostigma willmottianum"
"Cerbera manghas"
"Cercidiphyllum japonicum (katsura)"
"Cercis canadensis"
"Cercis canadensis (eastern redbud)"
"Cercis chinensis"
"Cercis occidentalis (Western redbud)"
"Cereus"
"Cestrum (jessamine)"
"Cestrum nocturnum (night jessamine)"
"Cestrum parqui (Chilean jessamine)"
"Chaenomeles"
"Chaenomeles japonica (Japanese quince)"
"Chaenomeles lagenaria [Chaenomeles speciosa]"
"Chaerophyllum sp."
"Chamaecrista fasciculata"
"Chamaecyparis lawsoniana (Port Orford cedar)"
"Chamaecyparis pisifera (sawara false cypress)"
"Chamaecyparis sp."
"Chamaecyparis thyoides (Atlantic white cedar)"
"Chamaerops humilis (dwarf fan palm)"
"Chamaesyce prostrata"
"Chamelaucium"
"Chamerion angustifolium [Epilobium angustifolium]"
"Chamomilla recutita (common chamomile)"
"Chamomilla suaveolens (Rounded chamomile)"
"Chenopodiastrum murale (nettle-leaf goosefoot)"
"Chenopodium album"
"Chenopodium album (fat hen)"
"Chenopodium giganteum (large lambsquarters)"
"Chenopodium murale (nettle-leaf goosefoot)"
"Chenopodium quinoa (quinoa)"
"Chenopodium sp."
"Chenopodium spp."
"Chiococca pachyphylla"
"Chionanthus retusus"
"Chloranthus spicatus"
"Chloris gayana (Rhodes grass)"
"Chloris halophila"
"Chloroxylon swietenia (satinwood)"
"Chorisia speciosa (floss-silk tree)"
"Christella dentata (soft fern)"
"Chromolaena odorata (Siam weed)"
"Chrozophora rottleri"
"Chrysalidocarpus lutescens (butterfly palm)"
"Chrysanthemum"
"Chrysanthemum (daisy)"
"Chrysanthemum coronarium (garland chrysanthemum)"
"Chrysanthemum frutescens [Argyranthemum frutescens]"
"Chrysanthemum grandiflora"
"Chrysanthemum indicum"
"Chrysanthemum indicum (chrysanthemum)"
"Chrysanthemum morifolium (chrysanthemum (florists'))"
"Chrysanthemum morifolium (chrysanthemum (florists&apos;))"
"Chrysanthemum sp."
"Chrysanthus obliquinervis"
"Chrysophyllum cainito"
"Chrysophyllum imperiale"
"Chuquiraga erinacea"
"Cibotium"
"Cicer"
"Cicer arietinum"
"Cicer arietinum (chickpea)"
"Cichorium (chicory)"
"Cichorium intybus (chicory)"
"Cinchona"
"Cinchona calisaya (quinine)"
"Cinchona officinalis (Cinchona tree)"
"Cineraria"
"Cinnamomum"
"Cinnamomum burmanni"
"Cinnamomum burmannii [Cinnamomum burmanni]"
"Cinnamomum camphora"
"Cinnamomum camphora (camphor laurel)"
"Cinnamomum cassia"
"Cinnamomum doederleinii"
"Cinnamomum insulari-montanum"
"Cinnamomum japonicum"
"Cinnamomum kanehirai"
"Cinnamomum kotoense"
"Cinnamomum loureiroi"
"Cinnamomum osmophloeum (native cassia bark tree)"
"Cinnamomum pseudopedunculatum"
"Cinnamomum verum (cinnamon)"
"Cinnamomum verum (= Cinnamomum zeylanicum)"
"Cinnamomum yabunikkei"
"Cirsium arvense (creeping thistle)"
"Cirsium canum"
"Cirsium japonicum"
"Cirsium rivulare"
"Cirsium sp."
"Cirsium vulgare (spear thistle)"
"Cissus quadrangularis (treebine)"
"Cistus (rockrose)"
"Citharexylum berlandieri"
"Citrofortunella microcarpa"
"Citrullus"
"Citrullus lanatus (watermelon)"
"Citrus"
"Citrus amblycarpa"
"Citrus aurantiaca"
"Citrus aurantiifolia (lime)"
"Citrus aurantium"
"Citrus aurantium (sour orange)"
"Citrus bergamia (bergamot)"
"Citrus clementina"
"Citrus deliciosa (Mediterranean mandarin)"
